year,ssp119,ssp126,ssp245,ssp370,ssp370-lowNTCF-aerchemmip,ssp370-lowNTCF-gidden,ssp434,ssp460,ssp534-over,ssp585,percentile
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p05-p50
2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p05-p50
2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p05-p50
2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p05-p50
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p05-p50
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p05-p50
2021,-0.00776321130789488,-0.007512335258165682,-0.007521877054002513,-0.016083059099684084,-0.010702336605405916,-0.010603840287513756,-0.015348258877441822,-0.015155715814175208,-0.007241363144107747,-0.00719002197525529,p05-p50
2022,-0.017312935388734952,-0.016131171297241773,-0.01314269924257503,-0.030153499943571152,-0.018685119729778064,-0.018393359782391094,-0.027829834158588574,-0.02765369588521485,-0.01322508169516834,-0.013104932093879973,p05-p50
2023,-0.028568794981084306,-0.02564663993656504,-0.017439466216448186,-0.04284266223742819,-0.024483230323002564,-0.023895668926782368,-0.03832837355909362,-0.038009541094024546,-0.019209006144313704,-0.01897385446295874,p05-p50
2024,-0.040845378702407856,-0.03611149065451852,-0.02073688259527353,-0.054078251974095916,-0.02877775235603344,-0.027618516520759397,-0.04671404843450111,-0.04671549322677351,-0.024828530561107322,-0.024498601678937467,p05-p50
2025,-0.05406273796514971,-0.04696911870060167,-0.023498494072235473,-0.06417836991098132,-0.03176218194104132,-0.029746252588366606,-0.05453106183447549,-0.05421884451275114,-0.030744586415571918,-0.030302897441859305,p05-p50
2026,-0.06760563908693829,-0.05840890435383807,-0.02554625271560287,-0.07329675714743027,-0.0341610237246089,-0.031141394279874297,-0.061008934906194176,-0.06119798794471954,-0.03594636402343394,-0.03540106406738686,p05-p50
2027,-0.08167183706247477,-0.0699922147463809,-0.02735567209936534,-0.08286206510494672,-0.03638381506254895,-0.03210005690589398,-0.06708238432469378,-0.06757391036302153,-0.04150102793725765,-0.04083340153214613,p05-p50
2028,-0.09655816617296739,-0.0819797628160298,-0.029137493569997595,-0.09130498085392338,-0.03763267222516526,-0.03193376328032036,-0.07234226783961768,-0.07289566816490625,-0.047684487964546295,-0.04689819795559641,p05-p50
2029,-0.11255712972343054,-0.09405917164582789,-0.031260115753333546,-0.09968239832486961,-0.03895908696420491,-0.03192351868578694,-0.07716153923702966,-0.07815630797975326,-0.053413222405715756,-0.05250372943408823,p05-p50
2030,-0.12826918042865607,-0.10685337503495049,-0.033665268733481996,-0.10802507691949424,-0.04023207318237683,-0.03221658688723919,-0.08090063606663685,-0.08324860542872622,-0.0594385950915075,-0.05839479392363012,p05-p50
2031,-0.1438671605005783,-0.11894442139972922,-0.0360203129252408,-0.11492510544710108,-0.041639645349034964,-0.03302765035680409,-0.08452459994882473,-0.08780953097844398,-0.06590376164614542,-0.06474419690591053,p05-p50
2032,-0.15765737034837085,-0.12991921515626703,-0.038373574075067654,-0.12250265792763491,-0.04424244734883063,-0.03512826694928821,-0.0866546177194558,-0.09228706075606245,-0.0720523500406084,-0.07085164543135117,p05-p50
2033,-0.16969052111798455,-0.13956338377946576,-0.041210990587961974,-0.1296811993992534,-0.04805239522766367,-0.0386232842071382,-0.08923850622571645,-0.096177233645463,-0.07824579148513994,-0.07694599320006712,p05-p50
2034,-0.18045391033752956,-0.148517551850259,-0.04417575838581969,-0.13650832522437745,-0.052727445730589045,-0.04312308936289934,-0.09153948794118578,-0.10016427108945375,-0.08401491852897854,-0.08265296883114526,p05-p50
2035,-0.19081700963690978,-0.15616784776320372,-0.047489636054007064,-0.143047104735095,-0.05715865753335043,-0.04778091611610683,-0.0934571769717369,-0.10394542241757561,-0.08970452930597547,-0.08822915376383954,p05-p50
2036,-0.1995704282852483,-0.164459459353031,-0.0506165396252398,-0.14924177538967953,-0.06239087363558222,-0.054034470671257925,-0.09545913190903015,-0.1081416296622493,-0.09546788322137183,-0.09386681341142879,p05-p50
2037,-0.20803014095743977,-0.17179226438243853,-0.05391804347359003,-0.15561555367002913,-0.06819440724849204,-0.06100675796086629,-0.09735255867445462,-0.11204576074128776,-0.1009103310964729,-0.09913499519681218,p05-p50
2038,-0.21594625811191015,-0.17844247336569968,-0.057253642093891076,-0.16144680034125838,-0.07374601427024242,-0.06792483439530626,-0.09805471189985264,-0.11527827665659002,-0.10674534667814714,-0.10481484477701099,p05-p50
2039,-0.22257837456345575,-0.1859349613956952,-0.06099565315566273,-0.1670515041250682,-0.07986359922781894,-0.07519196738410472,-0.0994861388592915,-0.11972611897290451,-0.11185073843610432,-0.10977173891384986,p05-p50
2040,-0.22928871884797514,-0.1935948306466927,-0.06445789468331695,-0.1735306658529844,-0.08609828002397826,-0.08334738960146347,-0.10061855910972332,-0.12347038867965024,-0.11705128144010031,-0.11495780354459637,p05-p50
2041,-0.23600518346220328,-0.20055531744063004,-0.06773694816931176,-0.17901553237333778,-0.09283056887294062,-0.0920960294793784,-0.10193645139935738,-0.12735528401355284,-0.1226142657715033,-0.12017600497344855,p05-p50
2042,-0.24247940197893597,-0.20781240395493047,-0.07117541993624138,-0.18442601956075266,-0.10007986754901514,-0.1014455250899152,-0.10290357947254022,-0.13114317383799085,-0.12925809802854948,-0.12587735267400182,p05-p50
2043,-0.24827594474362527,-0.21371562694758833,-0.07482499080698703,-0.18956340193911952,-0.10748377482666253,-0.11099968050160015,-0.10359305390454966,-0.13366914072042668,-0.13593695858022692,-0.13117860736298487,p05-p50
2044,-0.2550237356287711,-0.22026053702498455,-0.0790615014641309,-0.19429610036277614,-0.1147927497979012,-0.12043415515165719,-0.10421376599785842,-0.1359646359088619,-0.1430602204968884,-0.13683296821004096,p05-p50
2045,-0.26167469773324215,-0.22622102229718577,-0.08257939531439164,-0.1986522511098359,-0.12257858502767058,-0.13074471274281993,-0.10507307449921047,-0.13807706250157675,-0.15002649026443973,-0.14238030852039057,p05-p50
2046,-0.26871543724768543,-0.2316647660212124,-0.08635004504135621,-0.20324227866404476,-0.13023284568096546,-0.14127628909826728,-0.10737852429346008,-0.13946525285815237,-0.15566940928805556,-0.14827702046868244,p05-p50
2047,-0.2754843746410849,-0.2370226360670719,-0.09017088996015742,-0.20862837610738982,-0.1374103599646352,-0.15060534132152387,-0.10854528367733611,-0.140734251522517,-0.1615186685451356,-0.15411775505116262,p05-p50
2048,-0.2818344436652806,-0.24210295076089483,-0.09424293540656535,-0.21337478737982093,-0.14509529356709325,-0.16076499475622216,-0.1102328151888467,-0.1420431751427821,-0.16744767217064285,-0.15987146043937783,p05-p50
2049,-0.2877183768819723,-0.24815238272388956,-0.09786067686383605,-0.2182873296267458,-0.1526260030801441,-0.1704308515730057,-0.11086151782346272,-0.1425412033636948,-0.17374205763832667,-0.16595273957415277,p05-p50
2050,-0.2944414645035345,-0.2543591668423502,-0.10167356692058398,-0.2228570099459531,-0.1609141619367241,-0.18112189674500823,-0.1128458061928913,-0.1443138692659883,-0.18001827874174217,-0.17155867812285133,p05-p50
2051,-0.30087423106683975,-0.2590865833629889,-0.10526730606994958,-0.22710313224966613,-0.16913810542953106,-0.19126705918204043,-0.11546284901053158,-0.1453994178475071,-0.1856927047543854,-0.17722567422208502,p05-p50
2052,-0.30589691485796094,-0.26376542728734576,-0.108782861152758,-0.2309934713150557,-0.1764481036432419,-0.20034540098514264,-0.11777369577855629,-0.14633710248059273,-0.1890763497090766,-0.18234244750316203,p05-p50
2053,-0.3105492692334102,-0.2679878219597799,-0.11226040697446828,-0.2340623974459961,-0.18310122676949434,-0.2088229994981925,-0.12068892570880434,-0.14700574088202134,-0.19291986875054506,-0.18750011261325417,p05-p50
2054,-0.31504046435460464,-0.2723948160004757,-0.11530975191338712,-0.2376908111076869,-0.18867704883548098,-0.21555788128346687,-0.12272035591340022,-0.14535202712554895,-0.195895270148875,-0.1923080131441555,p05-p50
2055,-0.3192486199510543,-0.2760636226774866,-0.1181979715084234,-0.24083442948034928,-0.1938949554103603,-0.22140661582830423,-0.12482247501213714,-0.14507507776627307,-0.19791509376619704,-0.19695083577417957,p05-p50
2056,-0.32233369042703186,-0.2797593959434584,-0.12105308651945983,-0.24365904353903647,-0.1989651383570464,-0.22681154729328765,-0.1278702846798742,-0.14509831069830068,-0.2009650331306403,-0.20079175181236855,p05-p50
2057,-0.3262795379777842,-0.2833051025045614,-0.12423466805915998,-0.24618586597277922,-0.20375057176348516,-0.23161757244532863,-0.13026208512173265,-0.14471880593996,-0.20580507368506343,-0.20445457988202834,p05-p50
2058,-0.32952562645012334,-0.28717827696822135,-0.12753187231277438,-0.2487246626285172,-0.20855308882568382,-0.23644701850945601,-0.13331686412105606,-0.1443773113131306,-0.21169491086158748,-0.20835052958641867,p05-p50
2059,-0.33312996412183243,-0.2915185146965447,-0.13120646089511873,-0.2511212509379092,-0.2130485160545165,-0.24091035273341352,-0.13584504962001503,-0.1432640343005827,-0.21776516289173378,-0.21198719733689897,p05-p50
2060,-0.3372110461666596,-0.29515238274107714,-0.1351663892696842,-0.25347370999493374,-0.2171045864042981,-0.24489916996435954,-0.1388575228451318,-0.14375000677132946,-0.22362149913165477,-0.21524264652405858,p05-p50
2061,-0.3410832450178143,-0.2989188012218173,-0.13875631701398614,-0.25589895286927233,-0.22105489934478426,-0.24889483103835622,-0.142472612605235,-0.144646942658889,-0.23083516393026982,-0.21813218757587508,p05-p50
2062,-0.3444357350794603,-0.30229572351508904,-0.14246912555324295,-0.25762169912756255,-0.22471283273584836,-0.25237974258600815,-0.14568661687771287,-0.14567811381097553,-0.23789903114060088,-0.2211964414826761,p05-p50
2063,-0.3475644864443985,-0.3056194978910382,-0.1458565978912634,-0.25932624873259885,-0.22894760429565247,-0.2558517042923242,-0.14869574547909611,-0.14764568723754418,-0.24541260073813892,-0.22386325871472623,p05-p50
2064,-0.35050130127141776,-0.30867858987531377,-0.14949673471906216,-0.2619994276350484,-0.23318069765269533,-0.25906275977042903,-0.15159729717832562,-0.15048541125347742,-0.2534924542800128,-0.2266726917344276,p05-p50
2065,-0.35342425002485073,-0.3120511909726161,-0.1537248654661564,-0.2632449648242087,-0.23697495332868532,-0.26202264747547227,-0.15367324412300706,-0.151599983756849,-0.26223561850875765,-0.22950981150583538,p05-p50
2066,-0.35636477435103514,-0.3155898159158702,-0.15812434927578134,-0.2651141600186225,-0.24131473926975108,-0.26538171698035423,-0.15585973860809066,-0.1544603968615909,-0.27028890347141876,-0.2321641007450222,p05-p50
2067,-0.3590857803854359,-0.31899007988390043,-0.16218200024690674,-0.2682530468812621,-0.2451803412695333,-0.268247154288856,-0.1583507005869944,-0.1566545757186817,-0.2786336586452004,-0.23480105115647115,p05-p50
2068,-0.36176643036353584,-0.3214645603672165,-0.16559003663047028,-0.27150856640330695,-0.24920666900277225,-0.2711593066950052,-0.160863888222463,-0.15884721311274053,-0.28519821663901346,-0.23741017851430576,p05-p50
2069,-0.3642419743755926,-0.3240404457786055,-0.16957159818649886,-0.2732113015641893,-0.2535538056650165,-0.2742577120374015,-0.16323401290363868,-0.160944824117416,-0.2935227319468509,-0.2402721444728221,p05-p50
2070,-0.3663498936154192,-0.3267339759589463,-0.17410442985423336,-0.27576788016468706,-0.25798467075828413,-0.27749093545843756,-0.16543142382869866,-0.16390589406239495,-0.30169121935004106,-0.2429833149765837,p05-p50
2071,-0.36880136011082154,-0.33003506885865136,-0.17856007650232442,-0.2780818063298853,-0.26202122375945697,-0.28023320364269283,-0.16758953562570905,-0.16740408929536318,-0.3094506497489252,-0.24576201752367247,p05-p50
2072,-0.3710017318610833,-0.3328219992794239,-0.18297678366299522,-0.2793549185017061,-0.26603348484726796,-0.28281549445794807,-0.16949751438008348,-0.1706426256765144,-0.31696300825768164,-0.2482545800463542,p05-p50
2073,-0.37315721333133434,-0.33639678069716195,-0.1876355599627052,-0.28002231464620025,-0.2699322142086658,-0.2854083778241785,-0.17157472446470146,-0.17368521940609402,-0.3235584063949084,-0.250809737651052,p05-p50
2074,-0.37539180605443906,-0.33998540759701157,-0.19228988002454792,-0.2814078142708691,-0.27348378373758236,-0.28739876274643394,-0.17347518899885173,-0.17635334180188553,-0.3300850307772822,-0.25335790140781744,p05-p50
2075,-0.37757035867507144,-0.34380539314283654,-0.1973326323107302,-0.2830115183031764,-0.2777475505127396,-0.2900581760609627,-0.1755439943670447,-0.17948466524447712,-0.33539952631951886,-0.25614648476773033,p05-p50
2076,-0.3794203377583501,-0.346734464460725,-0.20142491845840493,-0.2852857489442373,-0.2817994230636303,-0.2923780879089688,-0.17782315801795268,-0.18328997552103826,-0.3413445020606561,-0.25830123684391465,p05-p50
2077,-0.38193588885872615,-0.349170347209153,-0.2061179295481356,-0.2876564908409271,-0.2860146672718949,-0.29480356420989273,-0.1791885945790583,-0.18723503071275702,-0.34752567678383794,-0.26098341973207717,p05-p50
2078,-0.3846857421512364,-0.3526875899906596,-0.21056280716888548,-0.2899184808655354,-0.28981673410724657,-0.2970440616925406,-0.18087271775084304,-0.19135017677322202,-0.3534318517544023,-0.2637375535232043,p05-p50
2079,-0.3872584168146289,-0.35605022658915075,-0.21460382498050318,-0.2918137114636269,-0.2939614787806391,-0.2996293912877353,-0.18303920307275146,-0.1946183612192727,-0.3592753164042451,-0.26637446895733297,p05-p50
2080,-0.3894931955776526,-0.3595001414008911,-0.21926811846273622,-0.2943169242887924,-0.29801769528258654,-0.3017585765295798,-0.18491812525025517,-0.19817070874971907,-0.36400407166368615,-0.2686931180692926,p05-p50
2081,-0.3920566512350835,-0.36243452379515534,-0.2238802835498957,-0.295813142196439,-0.302092133176371,-0.3040646023289283,-0.1863080019873551,-0.2027941129157686,-0.369058111434598,-0.2710408194906056,p05-p50
2082,-0.39479053732966474,-0.36511779011803225,-0.2286021476104187,-0.2970996110331061,-0.3063792699385697,-0.306318855785229,-0.18771746820289195,-0.20620615557333438,-0.3733494644885891,-0.27428877659897544,p05-p50
2083,-0.3969058695073329,-0.3690461745534591,-0.23373861554940595,-0.29791578457869927,-0.31031326935865877,-0.3083358669353484,-0.18993951411215454,-0.20963753215310796,-0.37791610485136634,-0.2769453897626178,p05-p50
2084,-0.39930304446959064,-0.3722962482861493,-0.23835841325625035,-0.29926396939737765,-0.3140333079524102,-0.31021277321851554,-0.19328224445670905,-0.21241812284553707,-0.3817538969234207,-0.27986501681280784,p05-p50
2085,-0.40183872755121003,-0.3754510675144234,-0.2433276027993433,-0.3011365316251191,-0.3179459352694713,-0.3122391220905329,-0.19547872926914658,-0.21600397954921918,-0.3858332765998018,-0.2824508926829124,p05-p50
2086,-0.40426082616701337,-0.3791246285321543,-0.24818322714314686,-0.3020721914963825,-0.32193258639527755,-0.31414041338267035,-0.1976935290616495,-0.22000360433805427,-0.3895579694170217,-0.285030346908584,p05-p50
2087,-0.40660015733711874,-0.3822654081639776,-0.2524083770842929,-0.30305065201598724,-0.32598620043858423,-0.31603542214194025,-0.1993724419864675,-0.2231902035417334,-0.39302059549000073,-0.2868971083750411,p05-p50
2088,-0.4089218018406338,-0.38518946614036037,-0.25675856497869626,-0.30469095083936243,-0.33056650817456834,-0.31842077590000195,-0.20247299169656363,-0.22634554047087535,-0.39686653141775535,-0.28927281506905217,p05-p50
2089,-0.4112178632684216,-0.3883805054162822,-0.2615862079455503,-0.30660103895138496,-0.33449448996405273,-0.3201672324993794,-0.20529160020270185,-0.22910375579377654,-0.4003349389508811,-0.291799826966823,p05-p50
2090,-0.41324142834932026,-0.3912822774406946,-0.26633568916865413,-0.30913835423624686,-0.3382469761890834,-0.32182080338330665,-0.20862850844212485,-0.233113602649103,-0.40286381315948283,-0.29475037141188687,p05-p50
2091,-0.41511635800427016,-0.39414622529242904,-0.27063423735794223,-0.31160686249853503,-0.34187781247080384,-0.32329490869787314,-0.21114039177404204,-0.23650489145438358,-0.40499778407937714,-0.29680739784796856,p05-p50
2092,-0.4174184179392252,-0.3979202425695695,-0.2744606652392576,-0.314062944608613,-0.34574923052981554,-0.32513847170217736,-0.21428136603625328,-0.239590809344972,-0.40674872784042027,-0.29851211711374337,p05-p50
2093,-0.41929697328047344,-0.4015658624035937,-0.27844182565780107,-0.3163474297718316,-0.3496780724392433,-0.32701455317069855,-0.21631021251127558,-0.24202279935076587,-0.4083727721113046,-0.30073920874918203,p05-p50
2094,-0.4208630677655719,-0.404724155287888,-0.2824894600904136,-0.3186860243912621,-0.35378408608541706,-0.3291558001329468,-0.22079789915075762,-0.244639067039491,-0.4096000811769336,-0.3033078450778001,p05-p50
2095,-0.4230146696521169,-0.4078699530880692,-0.28566677951457115,-0.320767418681168,-0.3576578198315751,-0.33089051606148256,-0.22269333458870597,-0.24675588611515673,-0.41140336062559,-0.3054950797789952,p05-p50
2096,-0.42513854332429324,-0.41049493225784967,-0.28893432627704085,-0.3213668721231461,-0.36124139997759475,-0.33251467649697064,-0.2263231083997486,-0.24889257120551828,-0.4130237492675769,-0.3077025738478387,p05-p50
2097,-0.4272118154842767,-0.4140723343920293,-0.29261831877213507,-0.3238986794448547,-0.36496827533906573,-0.3340910758772049,-0.22994604134260568,-0.2512856963579391,-0.4152714164576838,-0.3104959682145476,p05-p50
2098,-0.4292374822712861,-0.41783101617381746,-0.29612896927292115,-0.32612058138275407,-0.3686451239493781,-0.33547985863949775,-0.2338630890270324,-0.2532945486474547,-0.41718279534858566,-0.3127152959258567,p05-p50
2099,-0.43130755335740556,-0.4211071860400455,-0.29934186206689933,-0.3283243386121136,-0.37186952390173456,-0.33661610517051344,-0.23787208128057297,-0.2554216142170411,-0.4187332865983246,-0.31537791123253917,p05-p50
2100,-0.43392123452713083,-0.42426505943615683,-0.3021003799439601,-0.330330479199259,-0.3751603535038851,-0.3378167263581774,-0.24064113045076663,-0.2578758657101208,-0.42045779710547226,-0.3182115421527768,p05-p50
